Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/tasks,938,139,7900.0,6325.15565890407,35.452969999823836,10427.52160300006,352.5351812366738,8.179941562691033,1.2121661803987778,7900,9800,10000,10000,10000,10000,10000,10000,10000,10000,10000
,Aggregated,938,139,7900.0,6325.15565890407,35.452969999823836,10427.52160300006,352.5351812366738,8.179941562691033,1.2121661803987778,7900,9800,10000,10000,10000,10000,10000,10000,10000,10000,10000
